"","Date","s_sum"
"1",2018-07-13,-2407.41
"2",2018-07-14,7747.623
"3",2018-07-15,7693.473
"4",2018-07-16,7640.163
"5",2018-07-17,7580.787
"6",2018-07-18,7521.644
"7",2018-07-19,7459.55
"8",2018-07-20,7395.57
"9",2018-07-21,7328.06
"10",2018-07-22,7261.98
"11",2018-07-23,7190.55
"12",2018-07-24,7117.66
"13",2018-07-25,7045.13
"14",2018-07-26,6970.34
"15",2018-07-27,6890.91
"16",2018-07-28,6811.62
"17",2018-07-29,6731
"18",2018-07-30,6646.53
"19",2018-07-31,6560.02
"20",2018-08-01,6472.37
"21",2018-08-02,6385.39
"22",2018-08-03,6291.97
"23",2018-08-04,6199.39
"24",2018-08-05,6104.86
"25",2018-08-06,6009.17
"26",2018-08-07,5912.11
"27",2018-08-08,5812.21
"28",2018-08-09,5711.29
"29",2018-08-10,5606.37
"30",2018-08-11,5502.12
"31",2018-08-12,5398.77
"32",2018-08-13,5290.41
"33",2018-08-14,5180.93
"34",2018-08-15,5070.76
"35",2018-08-16,4958.38
"36",2018-08-17,4844.504
"37",2018-08-18,4729.224
"38",2018-08-19,4613.04
"39",2018-08-20,4497.58
"40",2018-08-21,4378.02
"41",2018-08-22,4255.26
"42",2018-08-23,4136.31
"43",2018-08-24,4013.58
"44",2018-08-25,3889.37
"45",2018-08-26,3764.47
"46",2018-08-27,3639.2
"47",2018-08-28,3512.15
"48",2018-08-29,3383.71
"49",2018-08-30,3254.1
"50",2018-08-31,3124.3
"51",2018-09-01,2994.1
"52",2018-09-02,2859.4
"53",2018-09-03,2728.41
"54",2018-09-04,2594.1
"55",2018-09-05,2459.37
"56",2018-09-06,2325.33
"57",2018-09-07,2189.38
"58",2018-09-08,2052.91
"59",2018-09-09,1916.34
"60",2018-09-10,1777.75
"61",2018-09-11,1638.25
"62",2018-09-12,1499.94
"63",2018-09-13,1360.91
"64",2018-09-14,1218.57
"65",2018-09-15,1078.38
"66",2018-09-16,939.81
"67",2018-09-17,797.99
"68",2018-09-18,656.45
"69",2018-09-19,514.671
"70",2018-09-20,372.874
"71",2018-09-21,228.65
"72",2018-09-22,7286.2
